rowid,pl_letter,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_name,hip_name
32,c,38.021,0.2175,0.14,,0.057,Msini,,,61 Vir c,HIP 64924
33,d,123.01,0.476,0.35,,0.072,Msini,,,61 Vir d,HIP 64924
34,b,796,1.93,0.22,,2.46,Msini,,,7 CMa b,HIP 31592
35,b,116.6926,0.481,0.399,,7.4,Msini,,,70 Vir b,HIP 65721
36,b,691.9,2.1,0.117,,3,Msini,,,75 Cet b,HIP 11791
37,b,93.4,0.49,0.06,,1.5,Msini,,,8 UMi b,HIP 73136
38,b,952.7,2.5,0.206,,5.3,Msini,,,81 Cet b,HIP 12247
39,b,181.4,0.7,0.027,,3.2,Msini,,,91 Aqr b,HIP 114855
40,b,,260,,,13.5,Mass,,,AB Pic b,HIP 30034
41,b,268.94,0.777,0.29,,1.47,Msini,,,BD+14 4559 b,HIP 104780
43,b,137.48,0.539,0.26,,1.11,Msini,,,BD+15 2940 b,HIP 78407
51,b,3.8728,0.0428,0,,0.027,Msini,,,BD-06 1339 b,HIP 27803
52,c,125.94,0.435,0.31,,0.17,Msini,,,BD-06 1339 c,HIP 27803
53,b,5.6,0.056,0.15,,0.045,Msini,,,BD-08 2823 b,HIP 49067
54,c,237.6,0.68,0.19,,0.33,Msini,,,BD-08 2823 c,HIP 49067
56,b,1667,2.28,0.05,,0.53,Msini,,,BD-11 4672 b,HIP 90979
58,b,655.6,1.34,0.54,,5.1,Msini,,,BD-17 63 b,HIP 2247
104,b,555530,160,0.87,55,,,,,Fomalhaut b,HIP 113368
107,b,11.4433,0.0717,0,,0.017,Msini,,,GJ 15 A b,HIP 1475
108,b,8.63182,0.0607,0.073,,0.03335,Msini,,,GJ 163 b,HIP 19394
109,c,25.63058,0.1254,0.099,,0.0214,Msini,,,GJ 163 c,HIP 19394
110,d,603.95116,1.0304,0.373,,0.0925,Msini,,,GJ 163 d,HIP 19394
111,b,2288,2.41,0.21,,0.82,Msini,,,GJ 179 b,HIP 22627
112,b,18.6498,0.091101,0.1,,0.00909,Msini,,,GJ 273 b,HIP 36208
113,c,4.7234,0.036467,0.17,,0.00371,Msini,,,GJ 273 c,HIP 36208
114,b,133.71,0.49,0.511,,3.37,Msini,,,GJ 3021 b,HIP 1292
115,b,1.22003,0.0197,0.19,,0.0056,Msini,,,GJ 3138 b,HIP 10037
116,c,5.974,0.057,0.11,,0.01315,Msini,,,GJ 3138 c,HIP 10037
117,d,257.8,0.698,0.32,,0.03304,Msini,,,GJ 3138 d,HIP 10037
119,b,4100,4.5,0.37,,2.3,Msini,,,GJ 328 b,HIP 43790
129,b,2.64977,0.029,0,,0.00777,Msini,,,GJ 3998 b,HIP 84460
130,c,13.74,0.089,0.049,,0.0197,Msini,,,GJ 3998 c,HIP 84460
131,b,7.3709,0.058,0.08,,0.018,Msini,,,GJ 433 b,HIP 56528
132,b,2.64388312,0.0291,0.13827,86.44,0.07,Mass,0.372,1.8,GJ 436 b,HIP 57087
133,b,,43.5,,,4,Mass,,,GJ 504 b,HIP 64792
134,b,8.7076,0.06661,0.08,,0.01686,Msini,,,GJ 536 b,HIP 68469
135,b,5.3686,0.04061,0,,0.0497,Msini,,,GJ 581 b,HIP 74995
136,c,12.914,0.0721,0,,0.0173,Msini,,,GJ 581 c,HIP 74995
137,e,3.149,0.02815,0,,0.0053,Msini,,,GJ 581 e,HIP 74995
138,b,598.3,1.135,0.3,,0.328,Msini,,,GJ 649 b,HIP 83043
144,b,4.6938,0.039,0.2,,0.035,Msini,,,GJ 674 b,HIP 85523
145,b,1051.1,1.812,0.323,45,6.7,Mass,,,GJ 676 A b,HIP 85647
146,c,7337,6.6,,,6.8,Msini,,,GJ 676 A c,HIP 85647
147,d,3.6005,,0.262,,0.014,Msini,,,GJ 676 A d,HIP 85647
148,e,35.39,,0.125,,0.025,Msini,,,GJ 676 A e,HIP 85647
149,b,38.14,0.16353,0.04,,0.058,Msini,,,GJ 687 b,HIP 86162
150,b,3657,3.56,0.08,,0.68,Msini,,,GJ 832 b,HIP 106440
151,c,35.68,0.163,0.18,,0.017,Msini,,,GJ 832 c,HIP 106440
152,b,1845,2.32,0.05,,0.91,Msini,,,GJ 849 b,HIP 109388
153,b,15.76491,0.113,0.0416,,3.91,Msini,,,GJ 86 b,HIP 10138
154,b,61.1166,0.208317,0.0324,59,2.2756,Mass,,,GJ 876 b,HIP 113020
155,c,30.0881,0.12959,0.25591,59,0.7142,Mass,,,GJ 876 c,HIP 113020
156,d,1.93778,0.020807,0.207,59,0.021,Mass,,,GJ 876 d,HIP 113020
157,e,124.26,0.3343,0.055,59,0.046,Mass,,,GJ 876 e,HIP 113020
162,b,4.8878162,0.053,0.198,88.5,0.081,Mass,0.422,1.33,HAT-P-11 b,HIP 97657
173,b,5.6334729,0.06878,0.5171,86.72,9.09,Mass,1.157,7.29,HAT-P-2 b,HIP 80076
212,b,2.7908327,0.0423,0.246,82.13,2.18,Mass,1.466,0.86,HAT-P-56 b,HIP 32209
251,b,,53,,,,,6.9,,HD 100546 b,HIP 56379
252,b,157.57,0.76,0.085,,1.7,Msini,,,HD 100655 b,HIP 56508
253,b,383.7,1.03,0.36,,1.16,Msini,,,HD 100777 b,HIP 56572
254,c,5.75969,0.06412,0.073,,0.0416,Msini,,,HD 10180 c,HIP 7599
255,d,16.357,0.12859,0.131,,0.0378,Msini,,,HD 10180 d,HIP 7599
256,e,49.748,0.2699,0.051,,0.0805,Msini,,,HD 10180 e,HIP 7599
257,f,122.744,0.4929,0.119,,0.0722,Msini,,,HD 10180 f,HIP 7599
258,g,604.67,1.427,0.263,,0.0732,Msini,,,HD 10180 g,HIP 7599
259,h,2205,3.381,0.095,,0.2066,Msini,,,HD 10180 h,HIP 7599
260,b,70.46,0.302,0.11,,0.3,Msini,,,HD 101930 b,HIP 57172
261,b,20.8133,0.1532,0.121,,0.172,Msini,,,HD 102117 b,HIP 57291
262,b,4.113775,,0,,0.45,Msini,,,HD 102195 b,HIP 57370
263,b,127.58,0.614,0.05,,5.9,Msini,,,HD 102272 b,HIP 57428
264,b,778.1,2.03,0.211,,5.9,Msini,,,HD 102329 b,HIP 57467
265,b,122.1,0.46,0.34,,0.05,Msini,,,HD 102365 b,HIP 57443
266,b,6.495,0.081,0.048,,0.96,Msini,,,HD 102956 b,HIP 57820
267,b,47.84,0.249,0,,0.098,Msini,,,HD 103197 b,HIP 57931
268,b,4.5557,0.0498,0.086,,0.62,Msini,,,HD 103720 b,HIP 58237
269,b,5.8881,0.07,0.09,,0.367,Msini,,,HD 103774 b,HIP 58263
270,b,55.806,0.2643,0,,0.186,Msini,,,HD 104067 b,HIP 58451
272,b,199.505,0.95,0.09,,8.3,Msini,,,HD 104985 b,HIP 58952
273,b,1531,2.611,0.482,,6.92,Msini,,,HD 106252 b,HIP 59610
274,b,2890,4.3,0.402,,11,Msini,,,HD 106270 b,HIP 59625
277,b,989.2,2.015,0.15,,0.94,Msini,,,HD 10647 b,HIP 7978
278,b,3630,4.59,0.572,,9.61,Msini,,,HD 106515 A b,HIP 59743 A
279,b,,650,,,11,Mass,,,HD 106906 b,HIP 59960
280,b,1075.2,2.131,0.099,,6.21,Msini,,,HD 10697 b,HIP 8159
281,b,48.056,0.269,0.05,,0.21,Msini,,,HD 107148 b,HIP 60081
282,b,10.8985,0.102,0.53,,0.261,Msini,,,HD 108147 b,HIP 60644
283,b,1129,2,0.85,,3.5,Msini,,,HD 108341 b,HIP 60788
284,b,443.4,1.4,0.06,,2.6,Msini,,,HD 108863 b,HIP 61020
285,b,395.8,1.038,0.082,,1.29,Msini,,,HD 108874 b,HIP 61028
286,c,1624,2.659,0.239,,0.99,Msini,,,HD 108874 c,HIP 61028
287,b,68.27,0.33,0.12,,0.77,Msini,,,HD 109246 b,HIP 61177
288,b,7.8543,0.079,0.25,,0.054,Msini,,,HD 109271 b,HIP 61300
289,c,30.93,0.196,0.15,,0.076,Msini,,,HD 109271 c,HIP 61300
290,b,5.24,0.0635,0.01,,0.28,Msini,,,HD 109749 b,HIP 61595 A
